XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                   X                                      X                   X
X                   X                                      X                   X
X                   X         2                  1         X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X         1         X                                      X         2         X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
X                   X                                      X                   X
XXXXXXXXXXXXXXXXXXXXX                                      XXXXXXXXXXXXXXXXXXXXX
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
X                                                                              X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
